Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
No Opinion	Agree Somewhat	Not App	Agree Strongly	Disagree Strongly	No Opinion	Disagree Strongly	Agree Strongly	No Opinion	0	1	0	1	0	1	0	0	1	0	No Opinion	Agree Somewhat	Nothing	Agree Strongly	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id96820	
Disagree Strongly	Neither Agree or Disagree	Not App	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	No Opinion	0	0	0	1	0	1	0	1	1	0	Neither Agree or Disagree	Disagree Somewhat	Nothing	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id92239	
Disagree Somewhat	Neither Agree or Disagree	Not App	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	Agree Somewhat	0	1	0	1	0	1	0	0	1	0	No Opinion	Neither Agree or Disagree	Impact Fee	Agree Somewhat	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Agree Somewhat	Disagree Strongly	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id95681	
Neither Agree or Disagree	Disagree Somewhat	Delete	Disagree Somewhat	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	Disagree Somewhat	0	0	1	1	1	1	1	1	1	1	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Somewhat	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	0	0	1	0	0	0	1	0	0	1	1	Go!	id95680	
Disagree Somewhat	Neither Agree or Disagree	Read	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Don't Know	Agree Somewhat	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id99679	
Disagree Strongly	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	0	1	0	0	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0		1	1	0	0	1	1	Go!	id97133	
Agree Somewhat	Agree Strongly	Delete	Agree Strongly	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	No Opinion	Impact Fee	Agree Strongly	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	1	1	0	0	0	1	0	0	1	0	Go!	id96966	
Agree Somewhat	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	Agree Somewhat	0	1	0	0	0	0	0	1	1	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	1	0	0	0	1	0	0	1	0	Go!	id97063	
Agree Somewhat	Agree Somewhat	Read	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	0	0	0	0	Disagree Strongly	Disagree Somewhat	Other	Agree Somewhat	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	1	0	0	0	0	0	0	1	0	0	Go!	id97085	
Disagree Strongly	No Opinion	Not App	Agree Somewhat	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	0	1	0	0	0	0	1	0	0	0	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id98841	
Neither Agree or Disagree	No Opinion	Not App	Agree Strongly	Disagree Strongly	No Opinion	Agree Strongly	Agree Strongly	No Opinion	0	0	0	1	0	1	0	0	1	1	No Opinion	Disagree Somewhat	Registry	Agree Somewhat	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id97068	
Disagree Strongly	Agree Somewhat	Not App	No Opinion	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	No Opinion	0	0	0	1	1	1	0	1	1	1	Disagree Somewhat	Neither Agree or Disagree	Other	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	1	Go!	id92073	
Disagree Strongly	Agree Strongly	Read	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	No Opinion	No Opinion	0	0	1	1	1	1	0	1	1	1	Agree Somewhat	Agree Somewhat	Nothing	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97094	
Disagree Strongly	No Opinion	Delete	No Opinion	Disagree Strongly	Disagree Strongly	No Opinion	Agree Strongly	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	No Opinion	Don't Know	No Opinion	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Somewhat	No Opinion	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id859	
Disagree Strongly	Agree Somewhat	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Disagree Strongly	Registry	Agree Strongly	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id97130	
Disagree Somewhat	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	0	0	1	0	0	1	0	Disagree Somewhat	Agree Strongly	Don't Know	Agree Strongly	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id91037	
Neither Agree or Disagree	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Agree Strongly	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Somewhat	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	0	0	0	0	1	0	Go!	id93798	
Disagree Strongly	Neither Agree or Disagree	Reply	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Somewhat	Disagree Strongly	Disagree Strongly	0	1	0	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	1	0	1	0	Go!	id96429	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	Neither Agree or Disagree	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Neither Agree or Disagree	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id99336	
Disagree Somewhat	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	1	0	0	0	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Somewhat	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id90663	
Disagree Somewhat	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	1	1	1	1	1	1	1	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	0	1	1	1	0	1	1	Go!	id91702	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Agree Strongly	0	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	0	0	0	1	1	1	0	1	1	Go!	id92922	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	Disagree Strongly	0	0	1	1	1	1	0	1	1	0	Disagree Strongly	Neither Agree or Disagree	Other	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id96886	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Somewhat	0	0	1	1	1	1	0	1	1	1	Disagree Somewhat	Neither Agree or Disagree	Registry	Agree Somewhat	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	Agree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	0	0	1	1	0	1	0	1	Go!	id96805	
Disagree Strongly	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Registry	Neither Agree or Disagree	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id96806	
Disagree Somewhat	No Opinion	Reply	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	0	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Agree Strongly	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	No Opinion	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	1	1	1	1	Go!	id99680	
Disagree Strongly	Agree Strongly	Reply	Agree Somewhat	Disagree Somewhat	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	0	1	1	1	1	1	1	Go!	id84988	
Agree Somewhat	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Strongly	Agree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Disagree Strongly	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	1	0	0	1	0	0	1	0	Go!	id97891	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	1	0	1	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id99743	
Disagree Strongly	Agree Strongly	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Neither Agree or Disagree	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Other	Neither Agree or Disagree	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	1	0	0	0	1	0	0	1	1	Go!	id97248	
Disagree Strongly	No Opinion	Reply	Agree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Somewhat	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1	0	0	1	1	0	0	0	Go!	id97892	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	1	0	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Government Controls	Agree Strongly	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id98789	
Agree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Strongly	No Opinion	0	0	0	0	0	0	0	0	0	1	Disagree Somewhat	Agree Somewhat	Government Controls	Agree Strongly	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	0	1	Go!	id96812	
Disagree Strongly	Disagree Somewhat	Not App	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Disagree Somewhat	Agree Somewhat	0	0	0	1	0	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Somewhat	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	0	0	Go!	id96813	
Agree Strongly	Neither Agree or Disagree	Not App	Agree Strongly	Disagree Somewhat	Agree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	1	0	0	1	0	Agree Somewhat	Neither Agree or Disagree	Nothing	Agree Strongly	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	Agree Strongly	Neither Agree or Disagree	Agree Somewhat	0	1	0	0	0	0	1	0	0	1	0	Go!	id96814	
Agree Somewhat	Agree Strongly	Reply	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	No Opinion	0	1	1	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Somewhat	Registry	Agree Strongly	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	0	1	1	0	1	1	1	Go!	id97259	
No Opinion	Agree Strongly	Not App	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Strongly	No Opinion	0	0	0	0	1	0	0	0	0	1	No Opinion	Neither Agree or Disagree	Nothing	Agree Strongly	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id97719	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	1	0	1	0	1	0	1	1	0	Disagree Somewhat	Disagree Strongly	Registry	Agree Somewhat	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Disagree Strongly	0	1	0	1	0	0	1	0	0	1	0	Go!	id97310	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Agree Strongly	Disagree Somewhat	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	0	0	0	1	0	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	0	1	0	0	0	1	0	0	1	1	Go!	id90424	
Disagree Strongly	Disagree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Disagree Strongly	Blacklist	Agree Strongly	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	1	1	1	0	1	1	0	1	1	1	Go!	id93986	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id97447	
Disagree Strongly	Agree Strongly	Not App	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	No Opinion	1	1	0	1	0	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Disagree Strongly	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id94084	
Disagree Strongly	No Opinion	Not App	Agree Strongly	Disagree Strongly	No Opinion	Disagree Strongly	No Opinion	No Opinion	0	1	1	0	0	1	0	0	1	0	No Opinion	Neither Agree or Disagree	Registry	Neither Agree or Disagree	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id96819	
Neither Agree or Disagree	Neither Agree or Disagree	Not App	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	0	1	0	0	0	1	0	0	1	0	Disagree Somewhat	Agree Somewhat	Registry	Neither Agree or Disagree	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Agree Somewhat	No Opinion	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id97448	
Disagree Somewhat	Agree Somewhat	Not App	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	1	0	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Somewhat	Blacklist	Agree Somewhat	0	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	0	Disagree Somewhat	Agree Somewhat	Agree Strongly	0	0	0	0	0	1	1	0	1	1	1	Go!	id93982	
Disagree Strongly	Agree Strongly	Not App	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	1	0	0	0	0	0	0	0	1	0	Disagree Strongly	Disagree Somewhat	Registry	Agree Somewhat	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id96785	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	0	0	0	1	1	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0		1	1	0	0	1	0	Go!	id97464	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	1	1	0	Go!	id98852	
Disagree Strongly	Agree Somewhat	Not App	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Somewhat	Agree Somewhat	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	0	1	0	0	1	0	1	1	0	Go!	id60892	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	0	0	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Neither Agree or Disagree	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id97273	
No Opinion	Neither Agree or Disagree	Read	Agree Strongly	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	No Opinion	1	0	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Neither Agree or Disagree	Registry	Neither Agree or Disagree	0	0	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	1	1	0	0	0	0	0	0	0	1	0	Go!	id91753	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Somewhat	Neither Agree or Disagree	0	1	1	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Government Controls	Agree Strongly	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	1	0	Disagree Strongly	Disagree Somewhat	Agree Strongly	0	0	1	0		1	1	0	0	1	1	Go!	id71921	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Other	Agree Strongly	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Disagree Somewhat	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	0	0	1	0	0	1	0	Go!	id92665	
Disagree Strongly	Neither Agree or Disagree	Reply	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Strongly	Disagree Strongly	No Opinion	0	0	1	1	1	1	1	1	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	0	1	1		1	1	1	1	1	1	Go!	id97378	
Agree Somewhat	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	0	1	1	0	0	1	0	Disagree Strongly	Agree Strongly	Registry	Agree Somewhat	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	Agree Strongly	Agree Somewhat	Agree Strongly	0	1	1	0	0	1	1	0	0	1	0	Go!	id97474	
Disagree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Neither Agree or Disagree	0	1	0	0	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Other	Agree Strongly	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	1	1	0	0	1	1	Go!	id31716	
Disagree Strongly	Agree Strongly	Other	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	0	1	1	Go!	id97484	
Agree Strongly	Neither Agree or Disagree	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Impact Fee	Agree Strongly	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id97517	
